TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-75,7506.6,0.0013697,12.824,-131.97,1346.2,-0.41481,7.0452,4.2167,2.07,0.00052782,6.9052E-06,0.80965,0.019662,0.061156
-70,10941,0.0013798,9.0079,-110.81,1355.6,-0.30939,6.9088,4.245,2.0856,0.00047503,7.0318E-06,0.79206,0.019729,0.059096
-65,15624,0.0013904,6.4522,-89.51,1364.7,-0.20583,6.7807,4.274,2.104,0.00042997,7.1623E-06,0.7745,0.01982,0.057062
-60,21893,0.0014013,4.7057,-68.062,1373.7,-0.10405,6.6602,4.3031,2.1254,0.00039129,7.2963E-06,0.757,0.019935,0.055052
-55,30145,0.0014126,3.4895,-46.467,1382.6,-0.0039603,6.5467,4.3318,2.15,0.00035789,7.4333E-06,0.73958,0.020074,0.053067
-50,40836,0.0014243,2.6277,-24.727,1391.2,0.094497,6.4396,4.3599,2.1778,0.00032887,7.5729E-06,0.72228,0.020238,0.051107
-45,54489,0.0014364,2.0071,-2.8474,1399.6,0.19138,6.3384,4.3872,2.2092,0.00030352,7.7148E-06,0.70512,0.020427,0.049172
-40,71692,0.001449,1.5533,19.17,1407.8,0.28673,6.2425,4.4137,2.2441,0.00028124,7.8588E-06,0.68811,0.020641,0.047262
-35,93098,0.0014619,1.2168,41.321,1415.7,0.3806,6.1516,4.4394,2.283,0.00026156,8.0045E-06,0.67127,0.020882,0.045378
-30,119430,0.0014753,0.96396,63.603,1423.3,0.47303,6.0651,4.4645,2.3259,0.00024407,8.1516E-06,0.65463,0.021149,0.043519
-25,151470,0.0014891,0.77167,86.013,1430.7,0.56407,5.9827,4.4892,2.373,0.00022845,0.0000083,0.63819,0.021444,0.041686
-20,190080,0.0015035,0.62373,108.55,1437.7,0.65376,5.9041,4.5138,2.4245,0.00021441,8.4495E-06,0.62196,0.021768,0.039879
-15,236170,0.0015183,0.50868,131.22,1444.4,0.74214,5.8289,4.5385,2.4807,0.00020173,8.5999E-06,0.60594,0.02212,0.038097
-10,290710,0.0015336,0.4183,154.01,1450.7,0.82928,5.7569,4.5636,2.5419,0.00019022,8.7511E-06,0.59014,0.022503,0.036342
-5,354760,0.0015495,0.34664,176.94,1456.7,0.91521,5.6877,4.5895,2.6082,0.00017972,8.9031E-06,0.57456,0.022918,0.034614
