TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-100,3813,0.00074681,7.222,38.826,468.31,0.2711,2.7515,1.56,0.70304,0.00055456,7.2204E-06,0.22432,0.0072662,0.030663
-99,4170,0.00074821,6.64,40.386,468.94,0.28008,2.7409,1.5597,0.705,0.00054526,7.2624E-06,0.22366,0.0072828,0.030449
-98,4554.9,0.00074961,6.1118,41.946,469.58,0.28901,2.7305,1.5594,0.70702,0.0005362,7.3044E-06,0.22298,0.0072998,0.030235
-97,4969.6,0.00075102,5.6318,43.505,470.22,0.29789,2.7203,1.5592,0.7091,0.00052736,7.3465E-06,0.2223,0.0073173,0.030021
-96,5415.9,0.00075243,5.1953,45.064,470.85,0.30671,2.7102,1.559,0.71124,0.00051875,7.3885E-06,0.22162,0.0073353,0.029808
-95,5895.7,0.00075385,4.7977,46.624,471.48,0.31549,2.7003,1.5588,0.71344,0.00051034,7.4305E-06,0.22093,0.0073536,0.029595
-94,6410.9,0.00075529,4.4352,48.183,472.11,0.32421,2.6905,1.5587,0.7157,0.00050214,7.4726E-06,0.22024,0.0073724,0.029382
-93,6963.6,0.00075672,4.1043,49.742,472.74,0.33289,2.6809,1.5586,0.71802,0.00049413,7.5147E-06,0.21954,0.0073917,0.029169
-92,7556,0.00075817,3.802,51.3,473.37,0.34152,2.6714,1.5586,0.72041,0.00048632,7.5568E-06,0.21883,0.0074113,0.028957
-91,8190.3,0.00075962,3.5254,52.859,473.99,0.35009,2.6621,1.5586,0.72286,0.00047868,7.5989E-06,0.21812,0.0074315,0.028745
-90,8868.7,0.00076108,3.2721,54.418,474.61,0.35863,2.6529,1.5586,0.72537,0.00047122,0.000007641,0.2174,0.007452,0.028533
-89,9593.7,0.00076255,3.0399,55.977,475.24,0.36711,2.6438,1.5586,0.72796,0.00046393,7.6831E-06,0.21668,0.007473,0.028322
-88,10368,0.00076403,2.8269,57.536,475.85,0.37555,2.6349,1.5587,0.7306,0.00045681,7.7252E-06,0.21596,0.0074945,0.028111
-87,11194,0.00076552,2.6312,59.095,476.47,0.38395,2.6261,1.5588,0.73332,0.00044984,7.7674E-06,0.21523,0.0075164,0.0279
-86,12073,0.00076701,2.4512,60.655,477.09,0.3923,2.6174,1.559,0.7361,0.00044303,7.8095E-06,0.21449,0.0075387,0.02769
-85,13011,0.00076852,2.2856,62.214,477.7,0.40061,2.6089,1.5592,0.73896,0.00043637,7.8517E-06,0.21375,0.0075615,0.02748
-84,14007,0.00077003,2.133,63.774,478.31,0.40887,2.6004,1.5594,0.74188,0.00042985,7.8938E-06,0.21301,0.0075848,0.02727
-83,15067,0.00077155,1.9923,65.334,478.91,0.41709,2.5921,1.5597,0.74487,0.00042347,0.000007936,0.21226,0.0076085,0.027061
-82,16193,0.00077308,1.8624,66.894,479.52,0.42527,2.5839,1.5599,0.74793,0.00041722,7.9781E-06,0.21151,0.0076327,0.026851
-81,17387,0.00077462,1.7425,68.455,480.12,0.43341,2.5758,1.5603,0.75107,0.00041111,8.0203E-06,0.21075,0.0076573,0.026643
-80,18654,0.00077616,1.6316,70.016,480.72,0.44151,2.5679,1.5606,0.75427,0.00040512,8.0625E-06,0.20999,0.0076824,0.026434
-79,19996,0.00077772,1.5289,71.578,481.32,0.44957,2.56,1.561,0.75755,0.00039925,8.1046E-06,0.20923,0.0077079,0.026226
-78,21417,0.00077929,1.4338,73.14,481.92,0.45758,2.5523,1.5615,0.7609,0.00039351,8.1468E-06,0.20846,0.007734,0.026018
-77,22921,0.00078086,1.3457,74.702,482.51,0.46556,2.5446,1.562,0.76432,0.00038788,0.000008189,0.20769,0.0077604,0.025811
-76,24510,0.00078245,1.2639,76.265,483.1,0.47351,2.5371,1.5625,0.76781,0.00038237,8.2311E-06,0.20692,0.0077874,0.025603
-75,26189,0.00078404,1.188,77.828,483.68,0.48141,2.5296,1.563,0.77138,0.00037696,8.2733E-06,0.20615,0.0078148,0.025397
-74,27962,0.00078565,1.1174,79.393,484.27,0.48928,2.5223,1.5636,0.77502,0.00037166,8.3155E-06,0.20537,0.0078427,0.02519
-73,29832,0.00078726,1.0518,80.957,484.85,0.49711,2.5151,1.5642,0.77873,0.00036646,8.3577E-06,0.20459,0.0078711,0.024984
-72,31804,0.00078889,0.99067,82.523,485.43,0.5049,2.5079,1.5649,0.78251,0.00036137,8.3998E-06,0.2038,0.0078999,0.024778
-71,33880,0.00079052,0.93377,84.089,486,0.51266,2.5008,1.5656,0.78636,0.00035637,0.000008442,0.20301,0.0079292,0.024573
-70,36067,0.00079217,0.88072,85.656,486.57,0.52038,2.4939,1.5663,0.79029,0.00035146,8.4842E-06,0.20222,0.007959,0.024367
-69,38367,0.00079383,0.83124,87.224,487.14,0.52807,2.487,1.5671,0.79429,0.00034665,8.5263E-06,0.20143,0.0079893,0.024163
-68,40786,0.00079549,0.78504,88.792,487.71,0.53573,2.4802,1.5679,0.79836,0.00034193,8.5685E-06,0.20064,0.0080201,0.023958
-67,43328,0.00079717,0.74188,90.362,488.27,0.54335,2.4735,1.5688,0.8025,0.0003373,8.6106E-06,0.19984,0.0080514,0.023754
-66,45997,0.00079886,0.70153,91.932,488.83,0.55094,2.4669,1.5697,0.80671,0.00033275,8.6528E-06,0.19904,0.0080832,0.02355
-65,48798,0.00080056,0.66378,93.504,489.38,0.5585,2.4604,1.5706,0.81099,0.00032829,0.000008695,0.19824,0.0081154,0.023347
-64,51736,0.00080228,0.62844,95.076,489.94,0.56602,2.4539,1.5716,0.81535,0.00032391,8.7371E-06,0.19744,0.0081482,0.023144
-63,54816,0.000804,0.59534,96.649,490.48,0.57351,2.4476,1.5726,0.81977,0.0003196,8.7793E-06,0.19663,0.0081815,0.022941
-62,58042,0.00080574,0.5643,98.224,491.03,0.58098,2.4413,1.5736,0.82426,0.00031538,8.8214E-06,0.19583,0.0082153,0.022738
-61,61420,0.00080748,0.53519,99.8,491.57,0.58841,2.4351,1.5747,0.82883,0.00031122,8.8636E-06,0.19502,0.0082496,0.022536
-60,64955,0.00080924,0.50786,101.38,492.11,0.59581,2.4289,1.5758,0.83346,0.00030715,8.9058E-06,0.19421,0.0082844,0.022335
-58,72517,0.0008128,0.45807,104.53,493.17,0.61052,2.4169,1.5782,0.84292,0.0002992,8.9901E-06,0.19258,0.0083557,0.021932
-56,80772,0.00081641,0.41404,107.7,494.22,0.62512,2.4051,1.5808,0.85266,0.00029153,9.0744E-06,0.19095,0.008429,0.021532
-54,89763,0.00082008,0.37501,110.86,495.26,0.63961,2.3936,1.5835,0.86267,0.00028412,9.1588E-06,0.18932,0.0085046,0.021132
-52,99537,0.00082379,0.34033,114.04,496.27,0.65399,2.3824,1.5864,0.87294,0.00027696,9.2431E-06,0.18768,0.0085824,0.020734
-50,110140,0.00082757,0.30944,117.22,497.27,0.66827,2.3714,1.5895,0.88348,0.00027004,9.3275E-06,0.18604,0.0086624,0.020338
-48,121630,0.0008314,0.28188,120.4,498.26,0.68244,2.3607,1.5927,0.89428,0.00026334,0.000009412,0.18439,0.0087448,0.019943
-46,134050,0.00083529,0.25722,123.6,499.23,0.69652,2.3502,1.5962,0.90534,0.00025686,9.4965E-06,0.18274,0.0088295,0.01955
-44,147450,0.00083924,0.23513,126.8,500.17,0.7105,2.3399,1.5998,0.91666,0.00025058,9.5811E-06,0.18109,0.0089168,0.019158
-42,161880,0.00084326,0.21528,130.01,501.11,0.72439,2.3298,1.6037,0.92825,0.0002445,9.6657E-06,0.17944,0.0090065,0.018768
-40,177410,0.00084735,0.19743,133.23,502.02,0.73819,2.32,1.6077,0.9401,0.00023861,9.7505E-06,0.17779,0.0090989,0.018379
-38,194090,0.0008515,0.18134,136.45,502.91,0.75191,2.3103,1.6119,0.95222,0.0002329,9.8353E-06,0.17614,0.009194,0.017992
-36,211970,0.00085572,0.1668,139.69,503.78,0.76554,2.3008,1.6164,0.96462,0.00022737,9.9204E-06,0.17449,0.0092919,0.017607
-34,231110,0.00086002,0.15365,142.93,504.63,0.77909,2.2916,1.6211,0.97729,0.000222,0.000010006,0.17284,0.0093928,0.017223
-32,251590,0.00086439,0.14173,146.18,505.47,0.79257,2.2824,1.626,0.99026,0.00021679,0.000010091,0.17119,0.0094966,0.016841
-30,273440,0.00086885,0.13091,149.45,506.27,0.80597,2.2735,1.6311,1.0035,0.00021173,0.000010176,0.16954,0.0096037,0.016461
-28,296750,0.00087338,0.12107,152.72,507.06,0.8193,2.2647,1.6365,1.0171,0.00020682,0.000010262,0.1679,0.009714,0.016082
-26,321570,0.000878,0.11211,156.01,507.83,0.83256,2.2561,1.6422,1.031,0.00020205,0.000010348,0.16626,0.0098279,0.015705
-24,347960,0.00088271,0.10393,159.31,508.57,0.84576,2.2476,1.6481,1.0452,0.00019741,0.000010435,0.16462,0.0099454,0.01533
-22,376000,0.00088751,0.096462,162.62,509.28,0.85889,2.2392,1.6543,1.0598,0.00019291,0.000010521,0.16298,0.010067,0.014957
-20,405750,0.00089241,0.089628,165.94,509.97,0.87197,2.231,1.6607,1.0747,0.00018852,0.000010609,0.16135,0.010192,0.014586
-18,437280,0.00089741,0.083367,169.28,510.64,0.88498,2.2229,1.6675,1.0901,0.00018426,0.000010696,0.15972,0.010322,0.014216
-16,470670,0.00090251,0.077622,172.63,511.28,0.89794,2.2149,1.6746,1.1059,0.00018011,0.000010784,0.15809,0.010456,0.013848
-14,505970,0.00090771,0.072343,175.99,511.89,0.91085,2.207,1.682,1.1221,0.00017607,0.000010873,0.15647,0.010595,0.013483
-12,543270,0.00091303,0.067487,179.37,512.47,0.92371,2.1992,1.6898,1.1388,0.00017213,0.000010962,0.15485,0.01074,0.013119
-10,582630,0.00091847,0.063013,182.76,513.02,0.93652,2.1915,1.698,1.156,0.0001683,0.000011051,0.15324,0.010889,0.012757
-8,624140,0.00092404,0.058887,186.18,513.54,0.94929,2.1839,1.7065,1.1737,0.00016456,0.000011142,0.15163,0.011045,0.012397
