TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
1,657.09,0.0010001,192.44,4.1767,2502.7,0.01526,9.1291,4.2166,1.8853,0.0017312,8.9741E-06,0.56292,0.017123,0.075508
5,872.58,0.0010001,147.01,21.02,2510.1,0.076254,9.0248,4.2055,1.8894,0.0015183,9.0902E-06,0.57052,0.017339,0.074942
10,1228.2,0.0010003,106.3,42.021,2519.2,0.15109,8.8998,4.1955,1.8947,0.001306,9.2384E-06,0.58,0.017621,0.074221
15,1705.8,0.0010009,77.875,62.981,2528.3,0.22446,8.7803,4.1888,1.9002,0.0011376,9.3898E-06,0.58933,0.017918,0.073486
20,2339.3,0.0010018,57.757,83.914,2537.4,0.29648,8.666,4.1844,1.9059,0.0010016,9.5441E-06,0.59842,0.018227,0.072736
25,3169.9,0.001003,43.337,104.83,2546.5,0.36722,8.5566,4.1816,1.9118,0.00089004,9.7009E-06,0.60715,0.01855,0.071972
30,4247,0.0010044,32.878,125.73,2555.5,0.43675,8.452,4.1801,1.918,0.00079722,9.8602E-06,0.61546,0.018887,0.071194
35,5629,0.001006,25.205,146.63,2564.5,0.50513,8.3517,4.1795,1.9245,0.00071912,0.000010022,0.62328,0.019236,0.070402
40,7384.9,0.0010079,19.515,167.53,2573.5,0.5724,8.2555,4.1796,1.9314,0.00065272,0.000010185,0.63058,0.019599,0.069596
45,9595,0.0010099,15.252,188.43,2582.4,0.63861,8.1633,4.1804,1.9388,0.00059605,0.000010461,0.63734,0.019975,0.068777
50,12352,0.0010121,12.027,209.34,2591.3,0.70381,8.0748,4.1815,1.9468,0.00054683,0.000010616,0.64355,0.020365,0.067944
55,15762,0.0010146,9.5643,230.26,2600.1,0.76802,7.9898,4.1831,1.9554,0.00050396,0.000010774,0.64922,0.020769,0.067098
60,19946,0.0010171,7.6672,251.18,2608.8,0.83129,7.9081,4.1851,1.9648,0.00046638,0.000010935,0.65435,0.021187,0.066238
65,25042,0.0010199,6.1935,272.12,2617.5,0.89365,7.8296,4.1875,1.975,0.00043324,0.000011097,0.65896,0.02162,0.065366
70,31201,0.0010228,5.0395,293.07,2626.1,0.95513,7.754,4.1902,1.9862,0.00040387,0.00001126,0.66309,0.022068,0.064481
