TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-100,2899.4,0.0015534,11.231,-23.56,456.88,-0.0082557,2.7664,2.0538,1.1845,0.00042569,4.8229E-06,0.16437,0.0069382,0.023375
-99,3155.5,0.0015559,10.377,-21.505,458.04,0.0035778,2.7572,2.0562,1.1879,0.00041887,4.8488E-06,0.16376,0.0070105,0.023246
-98,3430.5,0.0015584,9.5982,-19.447,459.2,0.015357,2.7482,2.0585,1.1914,0.00041222,4.8746E-06,0.16315,0.007083,0.023116
-97,3725.4,0.001561,8.887,-17.387,460.37,0.027082,2.7393,2.0609,1.1949,0.00040574,4.9005E-06,0.16253,0.0071558,0.022986
-96,4041.4,0.0015635,8.237,-15.325,461.54,0.038755,2.7306,2.0633,1.1984,0.00039942,4.9263E-06,0.16192,0.0072289,0.022856
-95,4379.5,0.0015661,7.6422,-13.26,462.71,0.050375,2.7221,2.0657,1.2019,0.00039325,4.9522E-06,0.16131,0.0073023,0.022726
-94,4741.1,0.0015686,7.0974,-11.192,463.88,0.061944,2.7138,2.0682,1.2055,0.00038722,0.000004978,0.16069,0.0073759,0.022595
-93,5127.4,0.0015712,6.5978,-9.1224,465.05,0.073463,2.7056,2.0707,1.209,0.00038134,5.0038E-06,0.16008,0.0074498,0.022465
-92,5539.6,0.0015738,6.1391,-7.05,466.23,0.084931,2.6976,2.0732,1.2127,0.0003756,5.0296E-06,0.15946,0.0075239,0.022334
-91,5979.2,0.0015764,5.7177,-4.975,467.4,0.09635,2.6897,2.0758,1.2163,0.00036999,5.0555E-06,0.15884,0.0075983,0.022203
-90,6447.5,0.001579,5.33,-2.8974,468.58,0.10772,2.682,2.0783,1.22,0.00036451,5.0813E-06,0.15823,0.007673,0.022071
-89,6945.9,0.0015816,4.9731,-0.81726,469.76,0.11904,2.6745,2.0809,1.2237,0.00035915,5.1071E-06,0.15761,0.007748,0.02194
-88,7476,0.0015842,4.6442,1.2656,470.94,0.13032,2.6671,2.0836,1.2274,0.00035392,5.1329E-06,0.15699,0.0078232,0.021808
-87,8039.3,0.0015869,4.3408,3.3511,472.13,0.14155,2.6598,2.0863,1.2311,0.0003488,5.1586E-06,0.15638,0.0078986,0.021677
