TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-100,3715.7,0.00066907,5.5347,60.715,381.82,0.37033,2.2238,1.3487,0.64594,0.00069757,7.6434E-06,0.16355,0.0068271,0.026944
-98,4445.4,0.00067165,4.6708,63.412,382.71,0.38581,2.2077,1.3474,0.65019,0.00067074,7.7344E-06,0.16243,0.006884,0.026554
-96,5293.3,0.00067426,3.9601,66.106,383.62,0.4011,2.1922,1.3463,0.65462,0.00064466,7.8255E-06,0.16129,0.0069426,0.026165
-94,6273.9,0.00067689,3.3726,68.798,384.54,0.41621,2.1773,1.3454,0.65926,0.00062016,7.9167E-06,0.16014,0.0070029,0.025778
-92,7403.6,0.00067955,2.8845,71.488,385.47,0.43114,2.163,1.3447,0.66411,0.00059711,0.000008008,0.15899,0.0070649,0.025391
-90,8699.5,0.00068224,2.4773,74.178,386.42,0.4459,2.1492,1.3443,0.66916,0.00057537,8.0993E-06,0.15782,0.0071286,0.025006
-88,10180,0.00068496,2.136,76.867,387.37,0.4605,2.136,1.3441,0.67444,0.00055483,8.1907E-06,0.15664,0.007194,0.024621
-86,11866,0.00068771,1.8488,79.556,388.34,0.47494,2.1232,1.3441,0.67995,0.0005354,8.2822E-06,0.15545,0.007261,0.024238
-84,13779,0.00069049,1.606,82.245,389.31,0.48922,2.1109,1.3442,0.68568,0.00051698,8.3737E-06,0.15426,0.0073296,0.023857
-82,15941,0.0006933,1.4001,84.935,390.29,0.50336,2.0991,1.3445,0.69165,0.0004995,8.4653E-06,0.15305,0.0073998,0.023476
-80,18377,0.00069614,1.2247,87.625,391.28,0.51735,2.0877,1.3451,0.69786,0.0004829,8.5569E-06,0.15184,0.0074717,0.023096
-78,21113,0.00069902,1.0748,90.317,392.27,0.53121,2.0766,1.3457,0.7043,0.0004671,8.6486E-06,0.15062,0.0075452,0.022718
-76,24176,0.00070193,0.94625,93.011,393.26,0.54493,2.066,1.3466,0.71099,0.00045205,8.7403E-06,0.14941,0.0076203,0.022341
-74,27595,0.00070488,0.83558,95.706,394.26,0.55852,2.0558,1.3476,0.71791,0.00043769,0.000008832,0.14819,0.007697,0.021965
-72,31400,0.00070786,0.74001,98.404,395.26,0.57199,2.0459,1.3488,0.72508,0.00042399,8.9237E-06,0.14697,0.0077753,0.021591
-70,35624,0.00071088,0.65721,101.1,396.26,0.58533,2.0363,1.3501,0.73249,0.0004109,9.0155E-06,0.14574,0.0078552,0.021217
-68,40300,0.00071394,0.58526,103.81,397.27,0.59856,2.027,1.3516,0.74014,0.00039838,9.1073E-06,0.1445,0.0079368,0.020845
-66,45462,0.00071704,0.52255,106.51,398.27,0.61167,2.0181,1.3532,0.74802,0.0003864,9.1992E-06,0.14326,0.00802,0.020475
-64,51148,0.00072018,0.46773,109.23,399.27,0.62467,2.0094,1.355,0.75614,0.00037492,0.000009291,0.14202,0.0081048,0.020105
-62,57395,0.00072336,0.41968,111.94,400.26,0.63757,2.001,1.3569,0.76449,0.00036391,9.3829E-06,0.14078,0.0081913,0.019737
-60,64243,0.00072658,0.37744,114.66,401.26,0.65036,1.9929,1.359,0.77307,0.00035335,9.4747E-06,0.13954,0.0082796,0.01937
-58,71733,0.00072985,0.34022,117.38,402.25,0.66305,1.985,1.3612,0.78187,0.0003432,9.5666E-06,0.13829,0.0083695,0.019005
-56,79908,0.00073317,0.30733,120.11,403.24,0.67564,1.9774,1.3636,0.7909,0.00033346,9.6584E-06,0.13704,0.0084612,0.018641
-54,88810,0.00073654,0.27821,122.84,404.22,0.68814,1.97,1.3662,0.80014,0.00032409,9.7502E-06,0.1358,0.0085546,0.018278
