TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-43.1,8.95E+05,8.86E-04,4.29E-02,106.67,434.61,0.63916,2.0647,1.9972,1.0057,2.04E-04,1.17E-05,0.16322,0.012226,0.013859
-43,8.98E+05,8.86E-04,4.27E-02,106.87,434.64,0.64001,2.0642,1.9976,1.0066,2.04E-04,1.17E-05,0.16309,0.012236,0.013835
-42.9,9.01E+05,8.87E-04,4.26E-02,107.07,434.66,0.64087,2.0636,1.9981,1.0075,2.03E-04,1.17E-05,0.16296,0.012246,0.013811
-42.8,9.05E+05,8.87E-04,4.24E-02,107.27,434.69,0.64173,2.0631,1.9985,1.0083,2.03E-04,1.17E-05,0.16284,0.012256,0.013787
-42.7,9.08E+05,8.87E-04,4.23E-02,107.47,434.71,0.64259,2.0626,1.9989,1.0092,2.03E-04,1.17E-05,0.16271,0.012266,0.013763
-42.6,9.12E+05,8.88E-04,4.21E-02,107.67,434.74,0.64344,2.0621,1.9994,1.01,2.02E-04,1.17E-05,0.16258,0.012276,0.013739
-42.5,9.15E+05,8.88E-04,4.20E-02,107.87,434.76,0.6443,2.0615,1.9998,1.0109,2.02E-04,1.17E-05,0.16246,0.012286,0.013715
-42.4,9.19E+05,8.88E-04,4.18E-02,108.08,434.78,0.64515,2.061,2.0003,1.0118,2.02E-04,1.17E-05,0.16233,0.012296,0.013692
-42.3,9.22E+05,8.89E-04,4.16E-02,108.28,434.81,0.64601,2.0605,2.0007,1.0126,2.01E-04,1.17E-05,0.1622,0.012306,0.013668
-42.2,9.26E+05,8.89E-04,4.15E-02,108.48,434.83,0.64687,2.06,2.0012,1.0135,2.01E-04,1.17E-05,0.16208,0.012316,0.013644
-42.1,9.29E+05,8.89E-04,4.13E-02,108.68,434.85,0.64772,2.0594,2.0016,1.0144,2.01E-04,1.17E-05,0.16195,0.012326,0.01362
-42,9.33E+05,8.89E-04,4.12E-02,108.88,434.88,0.64858,2.0589,2.0021,1.0153,2.00E-04,1.18E-05,0.16182,0.012336,0.013596
-41.9,9.36E+05,8.90E-04,4.10E-02,109.08,434.9,0.64943,2.0584,2.0026,1.0161,2.00E-04,1.18E-05,0.1617,0.012346,0.013572
-41.8,9.40E+05,8.90E-04,4.09E-02,109.28,434.92,0.65029,2.0579,2.003,1.017,2.00E-04,1.18E-05,0.16157,0.012356,0.013548
-41.7,9.43E+05,8.90E-04,4.07E-02,109.48,434.95,0.65114,2.0573,2.0035,1.0179,1.99E-04,1.18E-05,0.16144,0.012366,0.013525
-41.6,9.47E+05,8.91E-04,4.06E-02,109.68,434.97,0.652,2.0568,2.004,1.0188,1.99E-04,1.18E-05,0.16132,0.012376,0.013501
-41.5,9.50E+05,8.91E-04,4.04E-02,109.88,434.99,0.65285,2.0563,2.0044,1.0197,1.99E-04,1.18E-05,0.16119,0.012386,0.013477
-41.4,9.54E+05,8.91E-04,4.03E-02,110.08,435.02,0.6537,2.0558,2.0049,1.0206,1.98E-04,1.18E-05,0.16106,0.012397,0.013453
-41.3,9.57E+05,8.92E-04,4.01E-02,110.28,435.04,0.65456,2.0553,2.0054,1.0215,1.98E-04,1.18E-05,0.16094,0.012407,0.013429
-41.2,9.61E+05,8.92E-04,4.00E-02,110.49,435.06,0.65541,2.0547,2.0058,1.0224,1.98E-04,1.18E-05,0.16081,0.012417,0.013406
