TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-101.8,1000.00,0.00059,11.77,111.8,305.3,0.5991,1.728,0.8178,0.4461,1.05E-03,6.71E-06,0.1176,0.0042,0.02677
-44.75,51000.00,0.00065,0.3009,159.7,331.9,0.8398,1.594,0.8672,0.5393,4.13E-04,8.97E-06,0.09259,0.00662,0.01804
-40,64100.00,0.00065939,0.24342,163.86,334.18,0.85772,1.5882,0.87305,0.54772,3.87E-04,9.10E-06,0.090722,0.0068446,0.017351
-29.83,101000.00,0.00067,0.1595,172.8,339,0.8952,1.578,0.8865,0.5664,3.46E-04,9.56E-06,0.08679,0.00732,0.01589
-29.752,101330.00,0.00067249,0.15899,172.89,339.06,0.89551,1.5782,0.88663,0.56657,0.00034187,9.49E-06,0.086767,0.0073326,0.015879
-19.95,151000.00,0.00069,0.1096,181.7,343.7,0.9307,1.571,0.9008,0.5858,3.09E-04,9.95E-06,0.08309,0.00781,0.0145
-12.35,201000.00,0.0007,0.0838,188.6,347.2,0.9575,1.566,0.9127,0.6016,2.84E-04,1.03E-05,0.08029,0.00819,0.01345
-6.088,251000.00,0.00071,0.06796,194.3,350.1,0.9792,1.562,0.9232,0.6155,2.65E-04,1.05E-05,0.07803,0.00851,0.01259
-0.7118,301000.00,0.00072,0.05721,199.3,352.5,0.9976,1.56,0.9328,0.6281,2.51E-04,1.07E-05,0.07611,0.0088,0.01187
4.026,351000.00,0.00072,0.04942,203.8,354.6,1.014,1.558,0.9417,0.6398,2.38E-04,1.09E-05,0.07443,0.00906,0.01124
8.28,401000.00,0.00073,0.0435,207.8,356.4,1.028,1.556,0.9502,0.6509,2.28E-04,1.11E-05,0.07293,0.00929,0.01068
12.15,451000.00,0.00074,0.03884,211.5,358.1,1.041,1.555,0.9583,0.6614,2.19E-04,1.12E-05,0.07158,0.00951,0.01017
15.72,501000.00,0.00074,0.03508,215,359.6,1.053,1.553,0.9661,0.6717,2.11E-04,1.14E-05,0.07035,0.00972,0.00971
19.03,551000.00,0.00075,0.03197,218.2,361,1.064,1.552,0.9738,0.6816,2.04E-04,1.15E-05,0.0692,0.00992,0.00929
22.12,601000.00,0.00076,0.02936,221.2,362.2,1.074,1.551,0.9812,0.6913,1.97E-04,1.17E-05,0.06814,0.01011,0.0089
25.02,651000.00,0.00076,0.02714,224.1,363.4,1.083,1.551,0.9886,0.7009,1.91E-04,1.18E-05,0.06714,0.01029,0.00854
27.77,701000.00,0.00077,0.02521,226.8,364.5,1.092,1.55,0.9959,0.7104,1.86E-04,1.19E-05,0.06621,0.01047,0.0082
30.37,751000.00,0.00077,0.02354,229.4,365.5,1.101,1.549,1.003,0.7198,1.80E-04,1.20E-05,0.06532,0.01064,0.00788
32.85,801000.00,0.00078,0.02206,231.9,366.4,1.109,1.548,1.01,0.7292,1.76E-04,1.21E-05,0.06447,0.01081,0.00757
35.22,851000.00,0.00079,0.02076,234.3,367.3,1.117,1.548,1.018,0.7386,1.71E-04,1.23E-05,0.06367,0.01098,0.00729
37.49,901000.00,0.00079,0.01958,236.6,368.1,1.124,1.547,1.025,0.748,1.67E-04,1.24E-05,0.0629,0.01114,0.00701
39.67,951000.00,0.0008,0.01853,238.9,368.8,1.131,1.547,1.032,0.7574,1.63E-04,1.25E-05,0.06217,0.0113,0.00675
